"","Date","total_ST_h","total_ST_min","Social_ST_h","Social_ST_min","Pick_up","first_Pick_up","weekday_or_not","daily_proportion_social_ST","daily_duration_per_use"
"1",2023-12-24,5,298,"2.5",144,58," 08:06:00",0,48.3221476510067,5.13793103448276
"2",2023-12-25,9,539,"4.75",285,101," 08:10:00",1,52.8756957328386,5.33663366336634
"3",2023-12-26,14.417,865,"6.733",264,104," 08:02:00",1,30.5202312138728,8.31730769230769
"4",2023-12-27,12.5,748,"7",422,178," 08:01:00",1,56.4171122994652,4.20224719101124
"5",2023-12-28,13,789,"3.5",211,133," 08:01:00",1,26.7427122940431,5.93233082706767
"6",2023-12-29,11,652,"5.717",343,121," 11:24:00",1,52.6073619631902,5.38842975206612
"7",2023-12-30,13,780,"6",362,106," 11:02:00",0,46.4102564102564,7.35849056603774
"8",2023-12-31,10.333,620,"5",303,153," 13:21:00",0,48.8709677419355,4.05228758169935
"9",2024-01-01,9.633,578,"3.567",214,146," 13:00:00",1,37.0242214532872,3.95890410958904
"10",2024-01-02,13,782,"4.2",252,127," 11:33:00",1,32.2250639386189,6.15748031496063
"11",2024-01-03,11,660,"3.733",224,133," 12:01:00",1,33.9393939393939,4.96240601503759
"12",2024-01-04,12.333,740,"5",301,117," 10:12:00",1,40.6756756756757,6.32478632478632
"13",2024-01-05,15.233,914,"7.85",471,98," 10:37:00",1,51.5317286652079,9.3265306122449
"14",2024-01-06,11.333,679,"4.283",257,138," 08:19:00",0,37.8497790868925,4.92028985507246
"15",2024-01-07,9.333,560,"2.783",167,144," 09:54:00",0,29.8214285714286,3.88888888888889
"16",2024-01-08,14.5,870,"7",421,146," 10:10:00",1,48.3908045977011,5.95890410958904
"17",2024-01-09,13.5,813,"5.467",328,106," 12:01:00",1,40.3444034440344,7.66981132075472
"18",2024-01-10,11.233,674,"3.867",232,144," 11:01:00",1,34.4213649851632,4.68055555555556
"19",2024-01-11,12.25,735,"6.617",397,142," 10:21:00",1,54.0136054421769,5.17605633802817
"20",2024-01-12,11.5,691,"6.45",387,126," 12:09:00",1,56.0057887120116,5.48412698412698
"21",2024-01-13,9.9,594,"6",359,91," 12:01:00",0,60.4377104377104,6.52747252747253
"22",2024-01-14,14.8,888,"9.917",595,66," 12:31:00",0,67.0045045045045,13.4545454545455
"23",2024-01-15,11.15,669,"7.5",450,77," 09:11:00",1,67.2645739910314,8.68831168831169
"24",2024-01-16,13.583,815,"6.5",289,149," 07:06:00",1,35.4601226993865,5.46979865771812
"25",2024-01-17,10.783,647,"5.667",340,112," 08:10:00",1,52.5502318392581,5.77678571428571
"26",2024-01-18,8.7,522,"3",180,88," 08:04:00",1,34.4827586206897,5.93181818181818
"27",2024-01-19,10.25,615,"4.617",277,80," 10:35:00",1,45.0406504065041,7.6875
"28",2024-01-20,11,660,"6.383",383,99," 11:08:00",0,58.030303030303,6.66666666666667
"29",2024-01-21,9.167,550,"4.433",266,116," 09:02:00",0,48.3636363636364,4.74137931034483
"30",2024-01-22,11.567,694,"5.5",330,147," 08:24:00",1,47.5504322766571,4.72108843537415
"31",2024-01-23,10.317,619,"4",240,132," 07:13:00",1,38.7722132471729,4.68939393939394
"32",2024-01-24,11.317,679,"4.217",253,148," 08:05:00",1,37.260677466863,4.58783783783784
"33",2024-01-25,9.817,589,"4",240,157," 07:20:00",1,40.7470288624788,3.7515923566879
"34",2024-01-26,11,660,"5.917",350,150," 11:37:00",1,53.030303030303,4.4
"35",2024-01-27,10,600,"3.5",210,113," 11:00:00",0,35,5.30973451327434
"36",2024-01-28,9.5,573,"4.133",248,73," 11:26:00",0,43.2809773123909,7.84931506849315
"37",2024-01-29,12,720,"7.183",431,98," 09:00:00",1,59.8611111111111,7.3469387755102
"38",2024-01-30,11.123,667,"6.733",404,65," 07:23:00",1,60.5697151424288,10.2615384615385
"39",2024-01-31,10.883,653,"3.8",228,93," 09:03:00",1,34.9157733537519,7.02150537634409
"40",2024-02-01,10.783,647,"3.583",215,123," 07:11:00",1,33.2302936630603,5.26016260162602
"41",2024-02-02,9.133,548,"3.733",224,110," 09:18:00",1,40.8759124087591,4.98181818181818
"42",2024-02-03,13.883,833,"6.5",390,100," 09:03:00",0,46.8187274909964,8.33
"43",2024-02-04,13.15,789,"5.5",330,96," 11:20:00",0,41.8250950570342,8.21875
"44",2024-02-05,13.5,810,"7",420,161," 09:23:00",1,51.8518518518518,5.03105590062112
"45",2024-02-06,11,660,"4.167",250,139," 10:06:00",1,37.8787878787879,4.74820143884892
"46",2024-02-07,10.55,633,"5.7",342,140," 09:20:00",1,54.0284360189574,4.52142857142857
"47",2024-02-08,12.867,772,"6.5",385,105," 09:03:00",1,49.8704663212435,7.35238095238095
"48",2024-02-09,9.7,583,"4.667",280,101," 06:00:00",1,48.0274442538594,5.77227722772277
"49",2024-02-10,12.833,770,"6.25",375,100," 10:02:00",0,48.7012987012987,7.7
"50",2024-02-11,11.183,671,"6.1",366,89," 10:23:00",0,54.5454545454545,7.53932584269663
"51",2024-02-12,13.25,795,"5.083",305,93," 09:02:00",1,38.3647798742138,8.54838709677419
"52",2024-02-13,10.167,610,"4.083",245,164," 07:31:00",1,40.1639344262295,3.71951219512195
